Date,Price
01-04-2017,76750
02-04-2017,76857.64391
03-04-2017,78220.78947
04-04-2017,77606.88268
05-04-2017,78226.59546
06-04-2017,75771.43306
07-04-2017,76255.72156
08-04-2017,75684.14117
09-04-2017,75794.28571
10-04-2017,76086.4
11-04-2017,75494.71872
12-04-2017,75865.47076
13-04-2017,76262.64274
14-04-2017,74184.03682
15-04-2017,75600.85141
16-04-2017,77276.37849
17-04-2017,75558.1028
18-04-2017,74939.67839
19-04-2017,73150.69726
20-04-2017,73211.50408
21-04-2017,72746.19718
22-04-2017,74576.76051
23-04-2017,73097.94542
24-04-2017,73597.54257
25-04-2017,74188.35997
26-04-2017,74444.32378
27-04-2017,73655.40402
28-04-2017,74120.87992
29-04-2017,74149.55574
30-04-2017,74813.26893
01-05-2017,72845.88688
02-05-2017,72148.73718
03-05-2017,72463.5783
04-05-2017,71295.26791
05-05-2017,71391.52895
06-05-2017,68845.41595
07-05-2017,70227.20497
08-05-2017,69913.01707
09-05-2017,72356.04626
10-05-2017,70885.11726
11-05-2017,72029.29967
12-05-2017,71430.89779
13-05-2017,72462.17576
14-05-2017,71229.76415
15-05-2017,72564.51446
16-05-2017,71755.25847
17-05-2017,71760.14206
18-05-2017,72145.84393
19-05-2017,71853.15041
20-05-2017,72091.34895
21-05-2017,71448.19198
22-05-2017,72092.10074
23-05-2017,71111.85345
24-05-2017,71758.98116
25-05-2017,71466.21614
26-05-2017,72070.48624
27-05-2017,71844.62025
28-05-2017,70847.73663
29-05-2017,72515.125
30-05-2017,71994.90608
31-05-2017,72349.83391
01-06-2017,72070.58824
02-06-2017,71099.23012
03-06-2017,71449.01408
04-06-2017,72381.73893
05-06-2017,72676.12176
06-06-2017,71547.3487
07-06-2017,70858.62698
08-06-2017,71108.93745
09-06-2017,74368.22049
10-06-2017,71565.5377
11-06-2017,70370.63492
12-06-2017,71808.06548
13-06-2017,71810.46577
14-06-2017,71760.64328
15-06-2017,71677.60137
16-06-2017,72631.60526
17-06-2017,72590.31812
18-06-2017,71294.00204
19-06-2017,72974.32762
20-06-2017,72078.34355
21-06-2017,71392.49845
22-06-2017,71502.45163
23-06-2017,71824.75176
24-06-2017,71656.05373
25-06-2017,70351.98782
26-06-2017,72142.34796
27-06-2017,71838.37193
28-06-2017,71880.62734
29-06-2017,72296.91872
30-06-2017,72383.83329
01-07-2017,72383.83329
02-07-2017,72383.83329
03-07-2017,70878.15126
04-07-2017,70740
05-07-2017,71183.90775
06-07-2017,70554.70629
07-07-2017,70498.74806
08-07-2017,70501.54579
09-07-2017,70325.89869
10-07-2017,70692.40669
11-07-2017,70475.30826
12-07-2017,70064.03992
13-07-2017,70239.64754
14-07-2017,70039.11439
15-07-2017,69758.89088
16-07-2017,71566.30558
17-07-2017,70331.51087
18-07-2017,70845.0187
19-07-2017,70829.37765
20-07-2017,71684.37489
21-07-2017,71593.52459
22-07-2017,70514.23488
23-07-2017,70022.2449
24-07-2017,70795.99579
25-07-2017,70989.68651
26-07-2017,70080.66622
27-07-2017,70252.33065
28-07-2017,70261.71961
29-07-2017,70057.28953
30-07-2017,69756.61157
31-07-2017,70238.99986
01-08-2017,70307.36156
02-08-2017,70849.11209
03-08-2017,70479.59477
04-08-2017,71032.31939
05-08-2017,71602.07424
06-08-2017,70370.37037
07-08-2017,69780
08-08-2017,70481.97674
09-08-2017,71397.95918
10-08-2017,69648.30375
11-08-2017,70288.25008
12-08-2017,69968.37998
13-08-2017,69521.7649
14-08-2017,69816.6204
15-08-2017,69448.37716
16-08-2017,70742.99954
17-08-2017,70221.65553
18-08-2017,70399.9139
19-08-2017,70649.21074
20-08-2017,69780
21-08-2017,70904.35501
22-08-2017,70550.059
23-08-2017,70836.33441
24-08-2017,70811.08386
25-08-2017,70728.69875
26-08-2017,70778.30119
27-08-2017,70138.51798
28-08-2017,71516.58537
29-08-2017,70939.10841
30-08-2017,70768.14242
31-08-2017,71197.16934
01-09-2017,71056.75676
02-09-2017,71056.75676
03-09-2017,71348.48485
04-09-2017,70743.30458
05-09-2017,70920.02819
06-09-2017,70732.52215
07-09-2017,71181.53257
08-09-2017,70789.70957
09-09-2017,70605.83899
10-09-2017,70261.50159
11-09-2017,72071.26941
12-09-2017,71847.30603
13-09-2017,72437.31296
14-09-2017,72530.81234
15-09-2017,72543.91976
16-09-2017,71963.22328
17-09-2017,71797.6525
18-09-2017,72113.19852
19-09-2017,72545.13675
20-09-2017,73552.24714
21-09-2017,72438.71017
22-09-2017,73424.16517
23-09-2017,74797.30382
24-09-2017,71866.16601
25-09-2017,72170.17341
26-09-2017,73245.38411
27-09-2017,71912.16021
28-09-2017,72332.75284
29-09-2017,72597.94924
30-09-2017,72320.29398
01-10-2017,72320.29398
02-10-2017,72320.29398
03-10-2017,74107.85581
04-10-2017,73639.3793
05-10-2017,73860.09259
06-10-2017,74151.59173
07-10-2017,73726.0356
08-10-2017,74169.04179
09-10-2017,74313.17681
10-10-2017,73688.05113
11-10-2017,74056.70103
12-10-2017,73553.15719
13-10-2017,74363.58696
14-10-2017,73714.55292
15-10-2017,73099.03975
16-10-2017,74246.80532
17-10-2017,73661.8858
18-10-2017,71461.24444
19-10-2017,71461.24444
20-10-2017,71461.24444
21-10-2017,70900
22-10-2017,71215.90909
23-10-2017,72008.66667
24-10-2017,72092.22222
25-10-2017,70225.58592
26-10-2017,71078.08025
27-10-2017,71012.69147
28-10-2017,70848.66469
29-10-2017,70430.69497
30-10-2017,71088.43686
31-10-2017,71038.71606
01-11-2017,70472.76012
02-11-2017,70616.18793
03-11-2017,70449.3138
04-11-2017,70553.74304
05-11-2017,70560.44657
06-11-2017,70727.82817
07-11-2017,70932.07289
08-11-2017,70784.01678
09-11-2017,70692.51091
10-11-2017,71046.21261
11-11-2017,70037.82434
12-11-2017,69670.97517
13-11-2017,70569.14944
14-11-2017,70946.71897
15-11-2017,67608.65369
16-11-2017,67860.77558
17-11-2017,68008.66482
18-11-2017,67778.51452
19-11-2017,74828.56528
20-11-2017,67599.00515
21-11-2017,67665.84935
22-11-2017,67518.3089
23-11-2017,67451.07093
24-11-2017,67609.31469
25-11-2017,67154.87012
26-11-2017,67118.39303
27-11-2017,67437.23421
28-11-2017,67335.35978
29-11-2017,67113.01561
30-11-2017,67378.76541
01-12-2017,67725.17592
02-12-2017,67535.17612
03-12-2017,67230.46292
04-12-2017,67952.64182
05-12-2017,67522.32143
06-12-2017,67906.52104
07-12-2017,67762.06998
08-12-2017,68128.02266
09-12-2017,67468.22674
10-12-2017,67367.41083
11-12-2017,68459.1806
12-12-2017,69087.05114
13-12-2017,68813.19967
14-12-2017,69336.0564
15-12-2017,69093.26027
16-12-2017,69052.97309
17-12-2017,68593.45794
18-12-2017,68905.45455
19-12-2017,69116.8565
20-12-2017,69543.26983
21-12-2017,69771.74027
22-12-2017,70126.41965
23-12-2017,69912.25115
24-12-2017,69728.64322
25-12-2017,69912.89912
26-12-2017,71088.86397
27-12-2017,71229.89354
28-12-2017,71065.33726
29-12-2017,71011.63571
30-12-2017,70794.6184
31-12-2017,71943.37045
01-01-2018,71943.37045
02-01-2018,72820.96774
03-01-2018,72740.57559
04-01-2018,72558.33333
05-01-2018,72998.14189
06-01-2018,71810.40446
07-01-2018,71398.13472
08-01-2018,72230.62503
09-01-2018,71856.39921
10-01-2018,71750.44483
11-01-2018,71982.39919
12-01-2018,72969.27846
13-01-2018,72144.12139
14-01-2018,71080
15-01-2018,73560.39167
16-01-2018,72444.5536
17-01-2018,73188.55422
18-01-2018,73048.96711
19-01-2018,72332.48408
20-01-2018,73184.08045
21-01-2018,73757.57576
